"구명","유형","지역명","설치위치(X좌표)","설치위치(Y좌표)","설치기관(회사)"
"강남구","공공기관","(재)서울산업통상진흥원","127.0717546","37.4955815","LGU+"
"강남구","공공기관","(재)서울산업통상진흥원서울신기술창업센타","127.0380541","37.4976121","LGU+"
"강남구","공공기관","U강남도시관제센터","127.0409920","37.5084025","강남구"
"강남구","공공기관","강남구의회","127.0642026","37.4939383","강남구"
"강남구","공공기관","강남구청","127.0475020","37.5173050","강남구"
"강남구","공공기관","강남수도사업소","127.0471233","37.4833851","상수도사업본부"
"강남구","공공기관","강남운전면허시험장(대치)","127.0672394","37.5084197","KT"
"강남구","공공기관","강남인터넷방송국","127.0384706","37.4909267","강남구"
"강남구","공공기관","강남종합고용지원센터","127.0507291","37.5045560","KT"
"강남구","공공기관","과학기술회관","127.0307472","37.5007248","LGU+"
"강남구","공공기관","군인공제회관","127.0528667","37.4890937","KT"
"강남구","공공기관","군인공제회관 회원지원센터(도곡동)","127.0308650","37.5004619","SKT"
"강남구","공공기관","기술신용보증기금","127.0476601","37.5037628","LGU+"
"강남구","공공기관","아동복지센터","127.0879073","37.47976015","서울시"
"강남구","공원","논현개나리공원","127.0298608","37.5113394","SKT"
"강남구","공원","논현까치공원","127.0251180","37.5085141","SKT"
"강남구","공원","논현은행나무공원","127.022421","37.5126222","SKT"
"강남구","공원","대청공원주변","127.082306","37.491938","SKT"
"강남구","공원","도곡목련공원","127.0443385","37.4849477","SKT"
"강남구","공원","독골근린공원","127.046824","37.4845582","SKT"
"강남구","공원","독설공원주변","127.046503","37.485075","SKT"
"강남구","공원","양재천변","127.047111","37.481655","SKT"
"강남구","공원","양재천변","127.054016","37.487003","SKT"
"강남구","공원","양재천변","127.062251","37.489893","SKT"
"강남구","공원","양재천변","127.069833","37.49615","SKT"
"강남구","공원","양재천변","127.069855","37.496133","SKT"
"강남구","공원","양재천변","127.070024","37.494357","SKT"
"강남구","공원","양재천변","127.072345","37.499309","SKT"
"강남구","공원","양재천변","127.074404","37.498152","SKT"
"강남구","공원","양재천변","127.074621","37.500053","SKT"
"강남구","공원","일원2동 늘푸른공원","127.0774436","37.4899302","SKT"
"강남구","공원","일원목련공원","127.085556","37.4914386","SKT"
